Date,Open,High,Low,Close,Adj Close,Volume
1960-01-04,4.520000,4.520000,4.520000,4.520000,4.520000,0
1960-01-05,4.550000,4.550000,4.550000,4.550000,4.550000,0
1960-01-06,4.680000,4.680000,4.680000,4.680000,4.680000,0
1960-01-07,4.630000,4.630000,4.630000,4.630000,4.630000,0
1960-01-08,4.590000,4.590000,4.590000,4.590000,4.590000,0
1960-01-10,null,null,null,null,null,null
1960-01-11,4.540000,4.540000,4.540000,4.540000,4.540000,0
1960-01-12,4.540000,4.540000,4.540000,4.540000,4.540000,0
1960-01-13,4.560000,4.560000,4.560000,4.560000,4.560000,0
1960-01-14,4.510000,4.510000,4.510000,4.510000,4.510000,0
1960-01-15,4.490000,4.490000,4.490000,4.490000,4.490000,0
1960-01-17,null,null,null,null,null,null
1960-01-18,4.370000,4.370000,4.370000,4.370000,4.370000,0
1960-01-19,4.310000,4.310000,4.310000,4.310000,4.310000,0
1960-01-20,4.300000,4.300000,4.300000,4.300000,4.300000,0
1960-01-21,4.270000,4.270000,4.270000,4.270000,4.270000,0
1960-01-22,4.120000,4.120000,4.120000,4.120000,4.120000,0
1960-01-24,null,null,null,null,null,null
1960-01-25,4.120000,4.120000,4.120000,4.120000,4.120000,0
1960-01-26,4.040000,4.040000,4.040000,4.040000,4.040000,0
1960-01-27,3.990000,3.990000,3.990000,3.990000,3.990000,0
1960-01-28,3.920000,3.920000,3.920000,3.920000,3.920000,0
1960-01-29,3.990000,3.990000,3.990000,3.990000,3.990000,0
1960-01-31,null,null,null,null,null,null
1960-02-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
1960-02-02,3.960000,3.960000,3.960000,3.960000,3.960000,0
1960-02-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
1960-02-04,3.950000,3.950000,3.950000,3.950000,3.950000,0
1960-02-05,3.800000,3.800000,3.800000,3.800000,3.800000,0
1960-02-07,null,null,null,null,null,null
1960-02-08,3.550000,3.550000,3.550000,3.550000,3.550000,0
1960-02-09,3.580000,3.580000,3.580000,3.580000,3.580000,0
1960-02-10,3.700000,3.700000,3.700000,3.700000,3.700000,0
1960-02-11,3.850000,3.850000,3.850000,3.850000,3.850000,0
1960-02-12,null,null,null,null,null,null
1960-02-14,null,null,null,null,null,null
1960-02-15,3.960000,3.960000,3.960000,3.960000,3.960000,0
1960-02-16,4.040000,4.040000,4.040000,4.040000,4.040000,0
1960-02-17,4.070000,4.070000,4.070000,4.070000,4.070000,0
1960-02-18,4.040000,4.040000,4.040000,4.040000,4.040000,0
1960-02-19,4.080000,4.080000,4.080000,4.080000,4.080000,0
1960-02-21,null,null,null,null,null,null
1960-02-22,null,null,null,null,null,null
1960-02-23,4.060000,4.060000,4.060000,4.060000,4.060000,0
1960-02-24,4.130000,4.130000,4.130000,4.130000,4.130000,0
1960-02-25,4.170000,4.170000,4.170000,4.170000,4.170000,0
1960-02-26,4.190000,4.190000,4.190000,4.190000,4.190000,0
1960-02-28,null,null,null,null,null,null
1960-02-29,4.190000,4.190000,4.190000,4.190000,4.190000,0
1960-03-01,4.090000,4.090000,4.090000,4.090000,4.090000,0
1960-03-02,3.980000,3.980000,3.980000,3.980000,3.980000,0
1960-03-03,3.700000,3.700000,3.700000,3.700000,3.700000,0
1960-03-04,3.640000,3.640000,3.640000,3.640000,3.640000,0
1960-03-06,null,null,null,null,null,null
1960-03-07,3.540000,3.540000,3.540000,3.540000,3.540000,0
1960-03-08,3.560000,3.560000,3.560000,3.560000,3.560000,0
1960-03-09,3.640000,3.640000,3.640000,3.640000,3.640000,0
1960-03-10,3.660000,3.660000,3.660000,3.660000,3.660000,0
1960-03-11,3.590000,3.590000,3.590000,3.590000,3.590000,0
1960-03-13,null,null,null,null,null,null
1960-03-14,3.440000,3.440000,3.440000,3.440000,3.440000,0
1960-03-15,3.460000,3.460000,3.460000,3.460000,3.460000,0
1960-03-16,3.430000,3.430000,3.430000,3.430000,3.430000,0
1960-03-17,3.440000,3.440000,3.440000,3.440000,3.440000,0
1960-03-18,3.300000,3.300000,3.300000,3.300000,3.300000,0
1960-03-20,null,null,null,null,null,null
1960-03-21,3.050000,3.050000,3.050000,3.050000,3.050000,0
1960-03-22,2.900000,2.900000,2.900000,2.900000,2.900000,0
1960-03-23,2.770000,2.770000,2.770000,2.770000,2.770000,0
1960-03-24,2.820000,2.820000,2.820000,2.820000,2.820000,0
1960-03-25,2.680000,2.680000,2.680000,2.680000,2.680000,0
1960-03-27,null,null,null,null,null,null
1960-03-28,2.780000,2.780000,2.780000,2.780000,2.780000,0
1960-03-29,2.830000,2.830000,2.830000,2.830000,2.830000,0
1960-03-30,2.920000,2.920000,2.920000,2.920000,2.920000,0
1960-03-31,3.020000,3.020000,3.020000,3.020000,3.020000,0
1960-04-01,2.840000,2.840000,2.840000,2.840000,2.840000,0
1960-04-03,null,null,null,null,null,null
1960-04-04,2.720000,2.720000,2.720000,2.720000,2.720000,0
1960-04-05,2.800000,2.800000,2.800000,2.800000,2.800000,0
1960-04-06,2.920000,2.920000,2.920000,2.920000,2.920000,0
1960-04-07,3.050000,3.050000,3.050000,3.050000,3.050000,0
1960-04-08,3.300000,3.300000,3.300000,3.300000,3.300000,0
1960-04-10,null,null,null,null,null,null
1960-04-11,3.550000,3.550000,3.550000,3.550000,3.550000,0
1960-04-12,3.600000,3.600000,3.600000,3.600000,3.600000,0
1960-04-13,3.570000,3.570000,3.570000,3.570000,3.570000,0
1960-04-14,3.520000,3.520000,3.520000,3.520000,3.520000,0
1960-04-15,null,null,null,null,null,null
